"estate_object_name","construction_adress"
" Татьянин парк","Нао поселение Московский, Говорово. дер. северо-западнее. коррп. 2,3"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:678"
"Многоквартирный жилой дом ","Г.Москва, г.Щербинка, местечко Барыши, корп. 15"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1"
" Новое Бутово","НАО пос Воскресенское дер Язово корп 12 кв 139"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 (кадастровый номер земельного участка 50:21:0110502:644, секция 1, усл. ном. кв. 34"
" Лобачевский","ЗАО, район РАМЕНКИ, ул Лобачевского, ал 118"
"Жилой район Бунинский","Г. Москва НАО, поселение Сосенское, деревня Столбово"
" Виноградный","Г. Москва, Измайловский проезд, владение 1, корпус 4, строительный номер квартиры 17, секция 1"
" Москва А101","Москва, НАО . поселение Сосенское . поселок Газопровод корпус 17 кв 17-117"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5. Кадастровый номер земельного участка 50:21:100211:678"
" Первый Московский","Поселение Московский, г. Московский дом 5"
" Вершинино","ЮАО район Нагорный Электролитный проезд вл.16, корпус 1"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.1, корп. 4.5,6,7,8,9, в составе жилой застройки 1-ая очередь 2-й пусковой комплекс. Кадастровый номер земельного участка 50:21:100211:686"
"Многоквартирный жилой дом ","Г. Москва, г. Щербинка, местечко Барыши, корп. 11, секции 1, № кв на пл. 6.       Кад. № 50:61:0000000:11."
" Альбатрос","Ул. Твардовского, д.12, корп.3, кв.185"
"Некрасовка Парк","ЮВАО, район Некрасовка, кв.7, корп.6, примерно в 1040м по направлению на северо-запад от ориентира северо-западная граница"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, проектный номер 176, номер на площадке 4 поз 8"
" Новые Ватутинки","Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 34"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки дом 4"
" Новое Бутово","Г Москва АО НАО п Воскресенское д Язово корп. 7"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв. 5, в составе 2-й очереди строительства, 5-й квартал жилой застройки, жилой дом № 1"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи д. Ивановское, уч. 1/1 дом 9"
"Квартиры-таунхаусы","МОСКВА, ПОСЕЛЕНИЕ СОСЕНСКОЕ, ВБЛИЗИ ДЕР. НИКОЛО-ХОВАНСКОЕ, УЧ.11, ДОМ 5, кв.57"
" Бутовские аллеи","Г. Москва, НАО, п. Сосенское, вблизи д. Столбово, жилые дом № 17, секция 3, условный № кв. 75. Кад. № 50:21:120311:0194."
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 дом 4 квл 6"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685 дом 2"
"Многоквартирный жилой дом ","Г. Щербинка м. Барыши, корп. 11"
"МФК ФЛОТИЛИЯ","Г. Москва, САО, ул. Ляпидевского, вл.1 в корпусе № 3 на 22 этаже, условный номер на этаже № 3"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь, жилой дом №10, проектный номер квартиры 12"
" Новые Ватутинки","Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, Многоквартирный жилой дом № 77"
"Многоквартирный жилой дом ","Г.Москва г.Щербинка местечко Барыши корп.11"
" Ривер Парк ","Ул. Речников, вл. 7. корпус №9, проектный номер квартиры 213"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 1, проектный номер 16, номер на площадке 4. поз 4"
" Вершинино","Электролитный проезд, вл. 16"
" Переделкино Ближнее","НАО , поселение Внуковское, Рассказовка дом 5"
" Новое Бутово","Ленинский район, Сосенский с/о, в районе д. Язово"
" Первый Московский","НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, поз. №3, секция 1, этаж 10, проектный номер 38, № на площадке 3"
"Квартиры-таунхаусы","Г.Москва, поселение Сосенское, вблизи дер. Николо-Хованское, уч. 11, дом условный №6, усл.ном кв.21"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 9, квартира 166"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, корп. 11,в секции 4 на 5 этаже Жилого дома, номер квартиры на площадке  6"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.1, корп. 4.5,6,7,8,9 дом 5"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 1 "
" Москва А101","НАО, поселение Сосенское, пос. Коммунарка, корпус 14, кв.14-102"
" Некрасовка Парк ","ЮВАО, район Некрасовка, кв. 5, корп. 1, Люберецкие поля аэрации , квартира 198"
"Многоквартирный жилой дом ","Г.Москва,г.Щербинка,местечко Барыши,корпус 11, секция 5, этаж 12, кв на площадке 6"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1 в составе жилой застройки на земельных участках тепличного комбината № 1 дом 9"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, дом №4,подъезд 4, этаж 12, проектный номер 243; количество комнат 2;"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5. Кадастровый  номер земельного участка: 50:21:100211:678 дом 2"
"24608"," Рутаун"
" Татьянин парк","Ленинский район, городское поселение Московский, северо-западнее д. Говорово"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, корпус 11."
" Москва А101","Г. Москва,НАО,поселение Сосенское,поселок Газопровод, корпус 17, секция 1, кв.17-18"
" Первый Московский","Г Москва, НАО, поселение Московский, Московский пос, квартал 2, микрорайон 1, дом 4"
" Некрасовка Парк","Москва, ЮВАО, район Некрасовка, кв. 7, корп. 5, примерно в 1040 м по направлению на северо-запад от ориентира северно-западная граница,усл.номер кв.66"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 (в составе 2-ой очереди строительства, 6-й квартал жилой застройки,секция 5, проектный номер 262"
" Ривер Парк ","ЮАО, район Нагатинский затон, улица Речников, вл. 7, стр2"
"Многоквартирный жилой дом ","Г. Щербинка, местечко Барыши, дом 42, корп. 15"
"Малоэтажный многоквартирный жилой дом","Дер. Каменка, уч. 51, Дом № 1, корпус 2 , квартира 4."
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1 (согласно Постановлениям Правительства Москвы от 25 июля 2012 г. № 352-ПП и от 25 июля 2012 года № 353-ПП а"
" Переделкино Ближнее","Москва,НАО,поселение Внуковское,Рассказовка дер.,кв.5 поз 4"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 8, квартира 7"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, проектный номер 192, номер на площадке 4"
" LIFE-Митинская ","Г.Москва, ул.Митинская."
" LIFE-Митинская ","Г. Москва, Пятницкое шоссе, д. 21 "
" Переделкино Ближнее","Рассказовка"
" Москва А101 ","Поселение Сосенское, пос. Коммунарка корпус №11"
" Зеленый бор","Г.Москва, г.Зеленоград, корпус 2301"
" Москва А101","Г. Москва, НАО, поселение Сосенское, пос. Коммунарка, корпус №12, условный номер Объекта 12-17"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5, в составе 2-й очереди строительства, 5-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:678"
" Некрасовка Парк ","Москва, ЮВАО, район Некрасовка, кв.5, корп.2, Люберецкие поля аэрации "
" Москва А101","Москва, НАО, поселение Сосенское, посёлок Газопровод, корпус 16. порядковый номер квартиры 14"
" Татьянин парк","НАО, поселение Московский, Говорово дер., северо-западнее, корп. 4, 5, секция 2, порядковый номер на площадке 1, условный номер Объекта долевого строительства 107."
" Татьянин парк","Поселение Московский, северо-западнее д Говорово"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь. Кадастровый номер земельного участка 50:21:100211:678, секция 1, проектный номер 17, номер на площадке 1"
" Москва А101","Город Москва, поселение Сосенское, пос. Коммунарка,корп.13,условный № кв.13-279,секция 4"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2 (в составе 2-ой очереди строительства, 6-й квартал, секция 1"
" Борисоглебское","Поселение Новофедоровское, деревня Зверево, д.179, №12"
" Татьянин парк ","Г. Москва, п. Московский, северо-западнее д. Говорово, корпус №21, секция 2, кв. 79."
" Ново-Никольское ","5-ти секционный 9-ти этажный многоквартирный жилой дом № по ГП: 4, расположенный по адресу: г. Москва, п. Первомайское, вблизи, д. Ивановское, уч. 1/1, секция 5, строительный номер 169"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1. дом №4"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, секция  4, проектный номер 210, номер на площадке 2. поз 9 квл 6"
" Лобачевский","Г.Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1"
" «Эмеральд» ","Г. Москва, Ленинский пр-кт, вл. 105, секция -В, усл. № кв. 118."
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал"
" Борисоглебское","Г. Москва, поселение Новофедоровское, деревня Зверево, дом  № 159"
" Москва А101","Москва,НАО ,поселение Сосенское ,пос.Коммунарка, кор.13,секция 2, кв.13"
" Кристалл","Район Левобережный, микрорайон 2В, корпус 8 а"
" Вершинино","Г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 2"
"Некрасовка Парк","Г. Москва, ЮВАО, район Некрасовка, кв.7, корп.8, примерно в 1040 м по направлению на северо-запад от ориентира северо-западная граница, екция 1, условный номер квартиры 110"
"Жилой комплекс Новые Ватутинки","Г. Москва, НАО, п. Десёновское, вблизи д. Десна, уч. 50/12, корп. 2, секция № 4, проектный № кв. 169."
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция  2, проектный номер 74, номер на площадке 2. дом 5"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи д. Ивановское, уч. 1/1, дом 19"
"Жилой район Бунинский","Г.Москва,НАО,поселение Сосенское,деревня Столбово,уч.№27 корп.12, кв.6"
" Переделкино Ближнее","Москва рассказовка квл 6 дом 5"
" Первый Московский","НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1, секция 2, проектный номер 92, № на площадке 2."
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки. Кадастровый номер земельного участка 50:21:100211:685, секция 2, проектный номер 78, номер на площадке 2"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 8, квартира 14"
" Москва А101","НАО, поселение Сосенское, посёлок Газопровод корп 15"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5., секция 1, проектный номер 55, номер на площадке 1"
" Новые Ватутинки","Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 33."
" Некрасовка Парк ","ЮВАО, район Некрасовка, кв 5, корп. 1"
"Многоквартирный жилой дом ","Г.Москва, г.Щербинка, местечко Барыши, корп. 15 "
" Борисоглебское","Г. Москва, поселение Новофедоровское, деревня Зверево, дом № 147 , строительный номер квартиры 57"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка, дер. , кв. 5, 22-х этажный 4-х секционный индивидуальный жилой дом № 3 "
"Жилой микрорайон Новые Ватутинки","Ленинский район, Десеновское сельское поселение, вблизи дер.Десна, уч.53, жилой дом №68, кв.1"
"Многоквартирный жилой дом ","Г.Москва, г.Щербинка, местечко Барыши, корп. 11."
"Жилой микрорайон Новые Ватутинки","МО, Ленинский район, с. п. Десеновское, вблизи д. Десна / г. М-ва, поселение Десеновское, вблизи д. Десна, уч. 53, дом 10, секция № 3, проектный № кв. 23.  Кад. № 77:17:0140308:96."
"Жилой район Бунинский","Г. Москва, поселение Сосенское, вблизи д. Столбово, уч.27, кор.9, квартира 178"
" Ново-Никольское ","П. Первомайское, вблизи    д. Ивановское, уч. 1/1, строительный номер квартиры 8"
"Многоквартирный жилой дом ","ГОРОД МОСКВА, Г.ЩЕРБИНКА, МЕСТЕЧКО БАРЫГИ, КОРПУС 11, секция 7, 11 этаж, номер кв. на площадке 2"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция  6, проектный номер 352, номер на площадке 4. поз 8"
" Татьянин парк","Поселение Московский, северо-западнее д. Говорово, секция 2, порядковый номер на площадке 2, условный номер объекта долевого строительства 123 корп.1"
" Вершинино","Москва, ЮАО, район Нагорный, электропролитный проезд, вл.16, корп 3,секция 4, 3 этаж, кв на площадке 2"
" Некрасовка Парк ","ЮВАО, район Некрасовка, кв. 5, корп. 1, Люберецкие поля аэрации "
" Новое Бутово","Ленинский район, Сосенский с/о, в районе д. Язово корп.№7"
" Первый Московский","Москва, НАО, поселение Московский, Московский пос., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1. Земельный участок с кадастровым номером 50:21:0110205:595 дом 7"
" Москва А101","Москва, НАО, поселение Сосенское, пос. Коммунарка"
" Ново-Никольское ","Наро-Фоминский р-н, с.п. Первомайское, вблизи дер. Ивановское, уч. 1/1"
" Москва А101","НАО, поселение Сосенское, пос.Коммунарка, условный номер 8-206, номер секции 3, порядковый номер на этаже 13."
" Первый Московский","Москва, НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1,"
" Зеленый бор","Зеленоград ул. Радио корп. 2305"
" Лобачевский","Г. Москва, Раменки р-он, ул.Лобачевского, вл.118"
" Лобачевский","Москва, ЗАО, район Раменки, ул.Лобачевского, вл.118"
" Москва А101","НАО, поселение Сосенское, пос Коммунарка, корпус 8"
" Новое Бутово","НАО, поселение Воскресенское, деревня Язово корп.7"
" Ново-Никольское ","П. Первомайское, близи дер. Ивановское,уч. 1/1, дом по ГП 8, секция 3, строительный 82"
" Бунинский","Г. Москва, НАО, поселение Сосенское, деревня Столбово, уч. №27, корп. 12"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, секция  7, проектный номер 404. № на площадке 2."
" Вершинино","Москва, ЮАО, район Нагорный, Электролитный проезд, владение 16, корпус 3 секция 2, номер кв. на площадке 2"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер. кв.5, секция  4, проектный номер 307, номер на площадке4. д.3"
"Некрасовка Парк","ЮВАО РАЙОН НЕКРАСОВКА КВ 7 КОРП 8 ПРИМЕРНО В 1040 М ПО НАПРАВЛЕНИЮ НА СЕВЕРО-ЗАПАД ОТ ОРИЕНТИРА СЕВЕРО-ЗАПАДНАЯ ГРАНИЦА"
" Новые Ватутинки","Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 37,секция - 1, этаж - 9, номер на площадке - 3, проектный номер – 31,количество комнат – 1"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки."
" Вершинино","МОСКВА, ЮАО, РАЙОН НАГОРНЫЙ, ЭЛЕКТРОЛИТНЫЙ ПРОЕЗД, ВЛ. 16,КОРП. 4,"
" Новое Бутово","НАО, поселение Воскресенское, деревня Язово, корпус 8"
"Многоквартирный жилой дом ","Г. Москва, г. Щербинка, местечко Барыши, дом 42, корп. 15 "
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, улица Митинская, корпус Б, квартира 313"
" Москва А101","Московская область, Ленинский муниципальный район, сельское поселение Сосенское, вблизи д. Бачурино"
" Red Side","Москва, ЦАО , район Пресненский,улица Сергея Макеева ,вл.9,ул.2-я Черногрязская , вл.6"
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, улица Митинская."
" Переделкино Ближнее","17-ти этажный 6-ти секционный жилой дом № 6 серии П44Т , Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, кв. 182"
" Белый парк","Город Москва, Северный административный округ, район Левобережный, микрорайон № 2А, корпус 41-42-43"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, д.8"
"Жилой микрорайон Новые Ватутинки","Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53"
" Бунинский","НАО, поселение Сосенское, деревня Столбово, уч.№ 27, корп.12, кв.40"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь, секция  4, проектный номер 214, номер на площадке 2. дом 10"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5, секция 3, проектный номер 181, номер на площадке 2"
" Переделкино Ближнее","НАО, поселение Внуковское, дер. Рассказовка, уч. 13/2, секция 1, этаж 13, проектный номер 47, номер на площадке 3 квл 6 поз 9"
" Москва А101","Москва, НАО, поселение Сосенское, пос. Коммунарка. корпус 14, квартира 14-332"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция  1, проектный номер 1, номер на площадке 1."
" LIFE-Митинская ","Пятницкое шоссе, д. 21, кв. 573"
" Некрасовка Парк","ЮВАО, район Некрасовка, кв 5 корп 7 квартира 136"
" Red Side","Москва, ЦАО, район Пресненский, улица Сергея Макеева, вл. 9, ул. 2-я Черногрязская, вл. 6"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер, 13/2, в составе 2-ой очереди строительсвтва, 6-й квартал жилой застройки."
"Квартиры-таунхаусы","ГОРОД МОСКВА, ПОСЕЛЕНИЕ СОСЕНСКОЕ, ВБЛИЗИ ДЕР. НИКОЛО-ХОВАНСКОЕ, УЧ. 11, ДОМ УСЛОВНЫЙ №2"
" Борисоглебское","Г. Москва, поселение Новофедоровское, деревня Зверево, дом № 139, квартира 97"
" LIFE-Митинская ","СЗАО, район Митино, Митинская улица, вл. 22, корпус 1, секция 1, условный проектный № 2."
" Борисоглебское","Г.Москва, поселение Новофедоровское, деревня Зверево, дом № 159"
" Ново-Никольское ","Г. Москва, п. Первомайское, вблизи д. Ивановское, уч. 1/1"
" Кристалл","Район Левобережный, микрорайон 2В, корпус 8 а, б,секция 2,Этаж 14,условный номер квартиры 238"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово д., северо-западнее, кор. 6, 7 , секция 1, порядковый номер 1, условный номер 52"
" Первый Московский","НАО, поселение Московский, Московский пос.., кв. 2, мкр. 1, в составе жилой застройки на земельных участках тепличного комбината №1, секция 3, проектный номер 155, № на площадке 1"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 2, проектный номер 98, номер на площадке 2. дом 6"
" Кристалл","Г Москва АО САО, район Левобережный мкр 2В корп. 8 а,б"
"Кронбург","Ленинский р-н, с.п. Воскресенское, д. Губкино, ул. Кронбургская, владение 16"
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, улица Митинская, корпус Б, квартира 236"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч. 13/2. в составе 2-ой очереди строительства, 6-й квартал жилой застройки, жилой дом №1, секция 5, этаж 3, проектный номер 262, номер на площадке 2"
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, в составе жилой застройки на земельных участках тепличного комбината №1 дом 4"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5, жилая застройка 2-ая очередь. Кадастровый номер земельного участка 50:21:100211:678 дом 10"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 10, квартира 72"
"Жилой микрорайон Новые Ватутинки","НАО, поселение Десёновское, дер. Десна.ю вблизи уч. 50/8, корп. 35"
" Некрасовка Парк ","ЮВАО, район Некрасовка, кв. 5, корп. 3, Люберецкие поля аэрации "
" Переделкино Ближнее","Москва, НАО, п. Внуковское, д. Рассказовка, уч. 13/2, 6-й квартал, секция 3, проектный номер 190 поз 5"
"Коммунарка 6","Г Ленинский район г с/п Сосенское п пос. Коммунарка"
" LIFE-Митинская ","Ул.Митинская, корпус В"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 9, квартира 201"
"Многоквартирный жилой дом ","Москва, г. Щербинка, местечко Барыши, корп 11, кв.4"
" Новое Бутово","Московская область, Ленинский район, Сосенский с/о, в районе д. Язово"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер.., уч.13/2 поз 3"
